,,,,accuracy (test top-1 %),,,,,,,,,,,delta vs own baseline (pts),,,,,,,,,,,seeds,,,,,,,,,,,
deit-aug  [adamw],stl10,vit_tiny,baseline,n/a (<1 batch),n/a (<1 batch),26.12,23.42,30.16,30.71,34.77,35.12,38.20,43.62,51.95,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,diaggrid_deit_stl_none_3pct diaggrid_deit_stl_none_5pct diaggrid_deit_stl_none_7pct diaggrid_deit_stl_none_10pct diaggrid_deit_stl_none_15pct diaggrid_deit_stl_none_20pct diaggrid_deit_stl_none_25pct diaggrid_deit_stl_none_50pct diaggrid_deit_stl_none_100pct
"aux(magnitude@b8,L1.0>0.0,hn)  [adamw]",stl10,vit_tiny,variant,n/a (<1 batch),n/a (<1 batch),26.23,29.83,31.74,34.00,38.22,41.85,44.83,55.45,62.90,,,1.88,0.33,1.47,1.97,5.04,6.75,7.06,10.12,7.91,,,3,3,3,3,3,3,3,3,3,diaggrid_vit_stl_aux_3pct diaggrid_vit_stl_aux_5pct diaggrid_vit_stl_aux_7pct diaggrid_vit_stl_aux_10pct diaggrid_vit_stl_aux_15pct diaggrid_vit_stl_aux_20pct diaggrid_vit_stl_aux_25pct diaggrid_vit_stl_aux_50pct diaggrid_vit_stl_aux_100pct
"aux(magnitude@b8,L1.0>0.0,hn) + deit-aug  [adamw]",stl10,vit_tiny,variant,n/a (<1 batch),n/a (<1 batch),30.10,30.11,34.41,40.49,45.70,49.96,53.02,61.57,70.82,,,3.98,6.69,4.25,9.78,10.93,14.84,14.82,17.95,18.88,,,3,3,3,3,3,3,3,3,3,diaggrid_deit_stl_aux_3pct diaggrid_deit_stl_aux_5pct diaggrid_deit_stl_aux_7pct diaggrid_deit_stl_aux_10pct diaggrid_deit_stl_aux_15pct diaggrid_deit_stl_aux_20pct diaggrid_deit_stl_aux_25pct diaggrid_deit_stl_aux_50pct diaggrid_deit_stl_aux_100pct
dino-init  [adamw],stl10,vit_tiny,variant,n/a (<1 batch),n/a (<1 batch),26.39,28.75,31.02,32.80,33.62,36.37,38.83,48.27,58.44,,,2.04,-0.75,0.74,0.78,0.44,1.27,1.06,2.94,3.45,,,3,3,3,3,3,3,3,3,3,diaggrid_dino_stl_3pct diaggrid_dino_stl_5pct diaggrid_dino_stl_7pct diaggrid_dino_stl_10pct diaggrid_dino_stl_15pct diaggrid_dino_stl_20pct diaggrid_dino_stl_25pct diaggrid_dino_stl_50pct diaggrid_dino_stl_100pct
BASELINE,tin,mobilenetv3_small_100,baseline,3.60,7.03,10.12,16.66,20.63,25.36,29.53,32.66,35.15,44.36,52.94,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,grid_mnet_tin_none_1pct grid_mnet_tin_none_2pct grid_mnet_tin_none_3pct grid_mnet_tin_none_5pct grid_mnet_tin_none_7pct grid_mnet_tin_none_10pct grid_mnet_tin_none_15pct grid_mnet_tin_none_20pct grid_mnet_tin_none_25pct grid_mnet_tin_none_50pct grid_mnet_tin_none_100pct
"aux(magnitude@b3,L1.0>0.0,hn)",tin,mobilenetv3_small_100,variant,3.95,6.82,10.37,16.31,20.53,26.04,30.93,34.00,36.35,44.00,53.33,0.35,-0.21,0.25,-0.35,-0.10,0.68,1.40,1.33,1.20,-0.36,0.39,3,3,3,3,3,3,3,3,3,3,3,grid_mnet_tin_aux_1pct grid_mnet_tin_aux_2pct grid_mnet_tin_aux_3pct grid_mnet_tin_aux_5pct grid_mnet_tin_aux_7pct grid_mnet_tin_aux_10pct grid_mnet_tin_aux_15pct grid_mnet_tin_aux_20pct grid_mnet_tin_aux_25pct grid_mnet_tin_aux_50pct grid_mnet_tin_aux_100pct
BASELINE,tin,resnet18,baseline,8.54,17.34,24.83,36.65,47.66,48.44,51.52,52.76,54.74,60.84,66.37,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,diagtransfer2_tin_none_1pct diagtransfer2_tin_none_2pct diagtransfer2_tin_none_3pct diagtransfer2_tin_none_5pct diagtransfer2_tin_none_7pct diagtransfer2_tin_none_10pct diagtransfer2_tin_none_15pct diagtransfer2_tin_none_20pct diagtransfer2_tin_none_25pct diagtransfer2_tin_none_50pct diagtransfer2_tin_none_100pct
BASELINE,tin,resnet18,baseline,5.30,9.56,13.64,21.08,26.74,33.60,40.55,44.94,49.19,58.70,66.17,,,,,,,,,,,,10,3,3,10,3,3,3,3,3,3,3,tin_none_1pct tin_none_2pct tin_none_3pct tin_none_5pct tin_none_7pct tin_none_10pct tin_none_15pct grid_tin_r18_791598_20pct tin_none_25pct grid_tin_r18_791598_50pct tin_none_100pct
cosine-head,tin,resnet18,baseline,5.30,9.06,13.21,19.26,24.81,30.64,37.08,41.26,45.43,55.90,65.20,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,diagcos_tin_none_1pct diaggrid_tin_r18_cosinehead_05b132_2pct diaggrid_tin_r18_cosinehead_05b132_3pct diaggrid_tin_r18_cosinehead_05b132_5pct diaggrid_tin_r18_cosinehead_05b132_7pct diaggrid_tin_r18_cosinehead_05b132_10pct diaggrid_tin_r18_cosinehead_05b132_15pct diaggrid_tin_r18_cosinehead_05b132_20pct diaggrid_tin_r18_cosinehead_05b132_25pct diaggrid_tin_r18_cosinehead_05b132_50pct diaggrid_tin_r18_cosinehead_05b132_100pct
"aux(invariants@L3,L0.3)",tin,resnet18,variant,,,,22.36,,34.26,,,,,,,,,1.28,,0.67,,,,,,,,,3,,3,,,,,,diagtgt_tin_inv_5pct diagtgt_tin_inv_10pct
"aux(magnitude3@L3,L1.0>0.0)",tin,resnet18,variant,6.93,11.65,15.96,23.68,29.32,35.52,42.01,45.75,49.14,58.35,65.66,1.63,2.09,2.32,2.60,2.58,1.93,1.46,0.81,-0.05,-0.35,-0.51,3,3,3,10,3,3,3,3,3,3,3,auxmag3_tin_1pct grid_tin_r18_axmagnitude3L3_l10to00_01dc66_2pct grid_tin_r18_axmagnitude3L3_l10to00_01dc66_3pct auxmag3_tin_5pct grid_tin_r18_axmagnitude3L3_l10to00_01dc66_7pct auxmag3_tin_10pct grid_tin_r18_axmagnitude3L3_l10to00_01dc66_15pct grid_tin_r18_axmagnitude3L3_l10to00_01dc66_20pct grid_tin_r18_axmagnitude3L3_l10to00_01dc66_25pct grid_tin_r18_axmagnitude3L3_l10to00_01dc66_50pct grid_tin_r18_axmagnitude3L3_l10to00_01dc66_100pct
"aux(magnitude3@L3,L1.0>0.0,hn)",tin,resnet18,variant,6.78,11.81,16.32,23.69,29.41,35.39,41.72,45.46,48.61,57.89,65.96,1.47,2.25,2.68,2.61,2.67,1.79,1.18,0.52,-0.58,-0.81,-0.21,3,3,3,3,3,3,3,3,3,3,3,grid_mag3_tin_1pct grid_mag3_tin_2pct grid_mag3_tin_3pct grid_mag3_tin_5pct grid_mag3_tin_7pct grid_mag3_tin_10pct grid_mag3_tin_15pct grid_mag3_tin_20pct grid_mag3_tin_25pct grid_mag3_tin_50pct grid_mag3_tin_100pct
"aux(magnitude6o@L3,L1.0>0.0)",tin,resnet18,variant,6.64,11.41,16.18,23.50,29.27,35.71,42.39,46.02,49.35,58.67,65.64,1.34,1.85,2.54,2.43,2.53,2.12,1.84,1.08,0.16,-0.03,-0.52,3,3,3,10,3,3,3,3,3,3,3,grid_tin_r18_axmagnitude6oL3_l10to00_98321b_1pct grid_tin_r18_axmagnitude6oL3_l10to00_98321b_2pct grid_tin_r18_axmagnitude6oL3_l10to00_98321b_3pct auxmag6o_tin_5pct grid_tin_r18_axmagnitude6oL3_l10to00_98321b_7pct grid_tin_r18_axmagnitude6oL3_l10to00_98321b_10pct grid_tin_r18_axmagnitude6oL3_l10to00_98321b_15pct grid_tin_r18_axmagnitude6oL3_l10to00_98321b_20pct grid_tin_r18_axmagnitude6oL3_l10to00_98321b_25pct grid_tin_r18_axmagnitude6oL3_l10to00_98321b_50pct grid_tin_r18_axmagnitude6oL3_l10to00_98321b_100pct
"aux(magnitude6o@L3,L1.0>0.0,hn)",tin,resnet18,variant,6.76,11.68,15.98,23.51,29.38,35.64,42.21,46.44,49.28,58.45,65.82,1.46,2.13,2.34,2.43,2.64,2.04,1.66,1.50,0.09,-0.25,-0.35,3,3,3,3,3,3,3,3,3,3,3,grid_mag6o_tin_1pct grid_mag6o_tin_2pct grid_mag6o_tin_3pct grid_mag6o_tin_5pct grid_mag6o_tin_7pct grid_mag6o_tin_10pct grid_mag6o_tin_15pct grid_mag6o_tin_20pct grid_mag6o_tin_25pct grid_mag6o_tin_50pct grid_mag6o_tin_100pct
"aux(magnitude@L3,L0.3)",tin,resnet18,variant,,,,22.86,,34.79,,,,,,,,,1.78,,1.19,,,,,,,,,3,,3,,,,,,diagtgt_tin_mag_5pct diagtgt_tin_mag_10pct
"aux(magnitude@L3,L1.0>0.0)",tin,resnet18,variant,6.80,11.37,15.98,23.20,28.75,35.24,41.98,45.63,49.29,57.95,65.75,1.49,1.81,2.34,2.12,2.01,1.65,1.44,0.69,0.10,-0.74,-0.42,10,3,3,10,3,3,3,3,3,3,3,tin_aux_1pct tin_aux_2pct tin_aux_3pct tin_aux_5pct tin_aux_7pct tin_aux_10pct tin_aux_15pct grid_tin_r18_axmagnitudeL3_l10to00_391ace_20pct tin_aux_25pct grid_tin_r18_axmagnitudeL3_l10to00_391ace_50pct tin_aux_100pct
"aux(magnitude@L3,L1.0>0.0) + cosine-head",tin,resnet18,variant,6.22,10.06,14.48,20.98,25.68,32.06,38.49,42.25,45.67,55.71,64.68,0.92,1.01,1.27,1.72,0.86,1.42,1.41,0.99,0.24,-0.18,-0.52,3,3,3,3,3,3,3,3,3,3,3,diagcos_tin_aux_1pct diaggrid_tin_r18_axmagnitudeL3_l10to00_cosinehead_fe90c5_2pct diaggrid_tin_r18_axmagnitudeL3_l10to00_cosinehead_fe90c5_3pct diaggrid_tin_r18_axmagnitudeL3_l10to00_cosinehead_fe90c5_5pct diaggrid_tin_r18_axmagnitudeL3_l10to00_cosinehead_fe90c5_7pct diaggrid_tin_r18_axmagnitudeL3_l10to00_cosinehead_fe90c5_10pct diaggrid_tin_r18_axmagnitudeL3_l10to00_cosinehead_fe90c5_15pct diaggrid_tin_r18_axmagnitudeL3_l10to00_cosinehead_fe90c5_20pct diaggrid_tin_r18_axmagnitudeL3_l10to00_cosinehead_fe90c5_25pct diaggrid_tin_r18_axmagnitudeL3_l10to00_cosinehead_fe90c5_50pct diaggrid_tin_r18_axmagnitudeL3_l10to00_cosinehead_fe90c5_100pct
"aux(magnitude@L3,L1.0>0.0,hn)",tin,resnet18,variant,4.98,8.05,11.97,19.75,27.53,24.74,42.10,47.76,49.52,58.43,65.81,-3.56,-9.29,-12.86,-16.91,-20.13,-23.70,-9.42,-5.00,-5.22,-2.41,-0.56,3,3,3,3,3,3,3,3,3,3,3,diagtransfer2_tin_aux_1pct diagtransfer2_tin_aux_2pct diagtransfer2_tin_aux_3pct diagtransfer2_tin_aux_5pct diagtransfer2_tin_aux_7pct diagtransfer2_tin_aux_10pct diagtransfer2_tin_aux_15pct diagtransfer2_tin_aux_20pct diagtransfer2_tin_aux_25pct diagtransfer2_tin_aux_50pct diagtransfer2_tin_aux_100pct
"aux(magnitude@L3,L1.0>0.0,hn) + simsiam-init",tin,resnet18,variant,,,,24.03,,35.82,,,,,,,,,2.95,,2.22,,,,,,,,,3,,3,,,,,,diaggrid_simsiamaux_tin_5pct diagprosp_simsiamaux_tin_10pct
"aux(magnitude@L3,L2.0>0.0)",tin,resnet18,variant,6.99,11.72,16.37,22.95,28.55,35.43,41.72,45.67,48.90,58.16,65.89,1.68,2.16,2.73,1.87,1.81,1.83,1.17,0.73,-0.29,-0.54,-0.28,3,3,3,3,3,3,3,3,3,3,3,grid_tin_r18_axmagnitudeL3_l20to00_2838b9_1pct grid_tin_r18_axmagnitudeL3_l20to00_2838b9_2pct grid_tin_r18_axmagnitudeL3_l20to00_2838b9_3pct tin_aux_5pct_l20 grid_tin_r18_axmagnitudeL3_l20to00_2838b9_7pct grid_tin_r18_axmagnitudeL3_l20to00_2838b9_10pct grid_tin_r18_axmagnitudeL3_l20to00_2838b9_15pct grid_tin_r18_axmagnitudeL3_l20to00_2838b9_20pct grid_tin_r18_axmagnitudeL3_l20to00_2838b9_25pct grid_tin_r18_axmagnitudeL3_l20to00_2838b9_50pct grid_tin_r18_axmagnitudeL3_l20to00_2838b9_100pct
"aux(moments-cat@L3,L0.3)",tin,resnet18,variant,,,,22.04,,34.45,,,,,,,,,0.96,,0.85,,,,,,,,,3,,3,,,,,,diagtgt_tin_gab_5pct diagtgt_tin_gab_10pct
"aux(random-fixed@L3,L0.3)",tin,resnet18,variant,,,,21.75,,33.97,,,,,,,,,0.67,,0.37,,,,,,,,,3,,3,,,,,,diagtgt_tin_rand_5pct diagtgt_tin_rand_10pct
"aux(rotinv@L3,L0.3)",tin,resnet18,variant,,,,22.02,,33.82,,,,,,,,,0.94,,0.23,,,,,,,,,3,,3,,,,,,diagtgt_tin_rot_5pct diagtgt_tin_rot_10pct
"aux(steerable@L3,L0.3)",tin,resnet18,variant,,,,22.42,,34.32,,,,,,,,,1.34,,0.72,,,,,,,,,3,,3,,,,,,diagtgt_tin_ste_5pct diagtgt_tin_ste_10pct
"aux(structure@L3,L0.3)",tin,resnet18,variant,,,,22.17,,34.92,,,,,,,,,1.09,,1.33,,,,,,,,,3,,3,,,,,,diagtgt_tin_str_5pct diagtgt_tin_str_10pct
aux-HOG(L0.3),tin,resnet18,variant,,,,22.05,,34.88,,,,,,,,,0.97,,1.28,,,,,,,,,3,,3,,,,,,diagtgt_tin_hog_5pct diagtgt_tin_hog_10pct
simclr-init,tin,resnet18,variant,8.30,15.19,20.61,27.79,33.34,38.44,44.31,48.03,50.58,58.79,65.92,3.00,5.64,6.97,6.71,6.60,4.85,3.76,3.09,1.39,0.09,-0.24,3,3,3,3,3,3,3,3,3,3,3,diagssl_tin_simclr_1pct diagssl_tin_simclr_2pct diagssl_tin_simclr_3pct diagssl_tin_simclr_5pct diagssl_tin_simclr_7pct diagssl_tin_simclr_10pct diagssl_tin_simclr_15pct diaggrid_simclr_tin_20pct diagssl_tin_simclr_25pct diaggrid_simclr_tin_50pct diaggrid_ssl_tin_100pct
simsiam-init,tin,resnet18,variant,5.42,9.75,14.21,22.01,27.87,34.37,41.08,45.83,49.34,58.29,65.41,0.12,0.20,0.57,0.93,1.13,0.77,0.53,0.89,0.15,-0.41,-0.76,3,3,3,3,3,3,3,3,3,3,3,diaggrid_simsiam_tin_1pct diaggrid_simsiam_tin_2pct diaggrid_simsiam_tin_3pct diaggrid_simsiam_tin_5pct diaggrid_simsiam_tin_7pct diaggrid_simsiam_tin_10pct diaggrid_simsiam_tin_15pct diaggrid_simsiam_tin_20pct diaggrid_simsiam_tin_25pct diaggrid_simsiam_tin_50pct diaggrid_simsiam_tin_100pct
BASELINE,tin,resnet34,baseline,,,,21.27,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,grid_r34_tin_none_5pct
"aux(magnitude@L3,L1.0>0.0,hn)",tin,resnet34,variant,,,,23.23,,,,,,,,,,,1.96,,,,,,,,,,,3,,,,,,,,grid_r34_tin_aux_5pct
BASELINE,tin,resnet50,baseline,,,,19.46,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,grid_r50_tin_none_5pct
"aux(magnitude@L3,L1.0>0.0,hn)",tin,resnet50,variant,,,,22.91,,,,,,,,,,,3.44,,,,,,,,,,,3,,,,,,,,grid_r50_tin_aux_5pct
BASELINE  [adamw],tin,swin_tiny,baseline,2.24,0.86,0.83,1.43,1.26,0.86,0.50,0.85,1.30,5.53,11.61,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,diaggrid_swin_tin_none_1pct diaggrid_swin_tin_none_2pct diaggrid_swin_tin_none_3pct diaggrid_swin_tin_none_5pct diaggrid_swin_tin_none_7pct diaggrid_swin_tin_none_10pct diaggrid_swin_tin_none_15pct diaggrid_swin_tin_none_20pct diaggrid_swin_tin_none_25pct diaggrid_swin_tin_none_50pct diaggrid_swin_tin_none_100pct
"aux(magnitude@Ls.2,L1.0>0.0,hn)  [adamw]",tin,swin_tiny,variant,4.28,6.50,8.63,11.55,14.36,17.23,22.65,25.22,27.77,37.42,48.54,2.04,5.64,7.80,10.12,13.10,16.37,22.15,24.37,26.46,31.89,36.93,3,3,3,3,3,3,3,3,3,3,3,diaggrid_swin_tin_aux_1pct diaggrid_swin_tin_aux_2pct diaggrid_swin_tin_aux_3pct diaggrid_swin_tin_aux_5pct diaggrid_swin_tin_aux_7pct diaggrid_swin_tin_aux_10pct diaggrid_swin_tin_aux_15pct diaggrid_swin_tin_aux_20pct diaggrid_swin_tin_aux_25pct diaggrid_swin_tin_aux_50pct diaggrid_swin_tin_aux_100pct
BASELINE  [adamw],tin,vit_tiny,baseline,3.45,4.17,5.17,6.02,7.13,8.60,10.92,13.29,15.86,24.81,34.81,0.00,0.00,,0.00,,,0.00,,0.00,,0.00,3,3,3,3,3,3,3,3,3,3,3,diaggrid_tin_vit_adamw_95e854_1pct diaggrid_tin_vit_adamw_95e854_2pct diaggrid_tin_vit_adamw_95e854_3pct diaggrid_tin_vit_adamw_95e854_5pct diaggrid_tin_vit_adamw_95e854_7pct diagvit_none_tin_10pct diaggrid_tin_vit_adamw_95e854_15pct diaggrid_tin_vit_adamw_95e854_20pct diaggrid_tin_vit_adamw_95e854_25pct diaggrid_tin_vit_adamw_95e854_50pct diaggrid_tin_vit_adamw_95e854_100pct
deit-aug  [adamw],tin,vit_tiny,baseline,3.99,4.28,6.24,8.29,9.43,10.49,15.15,19.22,23.14,38.74,50.72,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,diagdeit_none_tin_1pct diagdeit_none_tin_2pct diaggrid_deit_tin_none_3pct diagdeit_none_tin_5pct diaggrid_deit_tin_none_7pct diagdeit_none_tin_10pct diagdeit_none_tin_15pct diaggrid_deit_tin_none_20pct diagdeit_none_tin_25pct diaggrid_deit_tin_none_50pct diagdeit_none_tin_100pct
"aux(magnitude@b8,L1.0>0.0,hn)  [adamw]",tin,vit_tiny,variant,4.83,7.46,9.80,12.79,15.09,17.75,21.64,23.94,26.35,33.38,41.98,1.39,3.29,4.64,6.77,7.96,9.15,10.73,10.65,10.48,8.58,7.17,3,3,3,3,3,3,3,3,3,3,3,diaggrid_tin_vit_adamw_axmagnitudeb8_l10to00_hn_65458b_1pct diaggrid_tin_vit_adamw_axmagnitudeb8_l10to00_hn_65458b_2pct diaggrid_tin_vit_adamw_axmagnitudeb8_l10to00_hn_65458b_3pct diaggrid_tin_vit_adamw_axmagnitudeb8_l10to00_hn_65458b_5pct diaggrid_tin_vit_adamw_axmagnitudeb8_l10to00_hn_65458b_7pct diagvit_aux_tin_10pct diaggrid_tin_vit_adamw_axmagnitudeb8_l10to00_hn_65458b_15pct diaggrid_tin_vit_adamw_axmagnitudeb8_l10to00_hn_65458b_20pct diaggrid_tin_vit_adamw_axmagnitudeb8_l10to00_hn_65458b_25pct diaggrid_tin_vit_adamw_axmagnitudeb8_l10to00_hn_65458b_50pct diaggrid_tin_vit_adamw_axmagnitudeb8_l10to00_hn_65458b_100pct
"aux(magnitude@b8,L1.0>0.0,hn) + deit-aug  [adamw]",tin,vit_tiny,variant,7.01,10.84,14.43,18.46,22.76,27.43,31.85,35.41,38.24,47.74,57.32,3.02,6.56,8.19,10.18,13.33,16.94,16.70,16.18,15.11,9.00,6.60,3,3,3,3,3,3,3,3,3,3,3,diagdeit_aux_tin_1pct diagdeit_aux_tin_2pct diaggrid_deit_tin_aux_3pct diagdeit_aux_tin_5pct diaggrid_deit_tin_aux_7pct diagdeit_aux_tin_10pct diagdeit_aux_tin_15pct diaggrid_deit_tin_aux_20pct diagdeit_aux_tin_25pct diaggrid_deit_tin_aux_50pct diagdeit_aux_tin_100pct
dino-init  [adamw],tin,vit_tiny,variant,3.41,4.51,5.93,9.26,13.06,16.98,21.75,24.67,27.22,36.82,47.08,-0.03,0.34,0.77,3.24,5.93,8.38,10.84,11.38,11.36,12.01,12.27,3,3,3,3,3,3,3,3,3,3,3,diaggrid_dino_tin_1pct diaggrid_dino_tin_2pct diaggrid_dino_tin_3pct diaggrid_dino_tin_5pct diaggrid_dino_tin_7pct diaggrid_dino_tin_10pct diaggrid_dino_tin_15pct diaggrid_dino_tin_20pct diaggrid_dino_tin_25pct diaggrid_dino_tin_50pct diaggrid_dino_tin_100pct
simclr-init  [adamw],tin,vit_tiny,variant,,,,,,20.69,,,,,,,,,,,12.09,,,,,,,,,,,3,,,,,,diagsslvit_tin_simclr_10pct
simclr-init + deit-aug  [adamw],tin,vit_tiny,variant,,,,16.67,,25.45,,,38.48,,,,,,8.38,,14.96,,,15.34,,,,,,3,,3,,,3,,,diagdeitssl_tin_simclr_5pct diagdeitssl_tin_simclr_10pct diagdeitssl_tin_simclr_25pct
simclr-init + deit-aug  [adamw],tin,vit_tiny,variant,,,,19.81,,27.73,,,36.53,,,,,,11.52,,17.24,,,13.39,,,,,,3,,3,,,3,,,diagdeitsslbudget_simclr800_vit_tin_5pct diagdeitsslbudget_simclr800_vit_tin_10pct diagdeitsslbudget_simclr800_vit_tin_25pct
BASELINE,tin20,resnet18,baseline,n/a (<1 batch),18.13,23.07,29.97,33.27,40.69,48.70,55.63,57.93,69.50,79.23,,,,,,,,,,,,,3,3,3,3,10,3,3,3,3,3,grid_tin20_r18_b1eb52_2pct grid_tin20_r18_b1eb52_3pct grid_tin20_r18_b1eb52_5pct grid_tin20_r18_b1eb52_7pct tin20_none grid_tin20_r18_b1eb52_15pct grid_tin20_r18_b1eb52_20pct grid_tin20_r18_b1eb52_25pct grid_tin20_r18_b1eb52_50pct grid_tin20_r18_b1eb52_100pct
"aux(magnitude@L3,L1.0>0.0)",tin20,resnet18,variant,n/a (<1 batch),21.10,27.77,34.33,39.33,46.11,54.37,58.83,61.13,71.80,80.43,,2.97,4.70,4.37,6.07,5.42,5.67,3.20,3.20,2.30,1.20,,3,3,3,3,10,3,3,3,3,3,grid_tin20_r18_axmagnitudeL3_l10to00_d9869d_2pct grid_tin20_r18_axmagnitudeL3_l10to00_d9869d_3pct grid_tin20_r18_axmagnitudeL3_l10to00_d9869d_5pct grid_tin20_r18_axmagnitudeL3_l10to00_d9869d_7pct tin20_aux grid_tin20_r18_axmagnitudeL3_l10to00_d9869d_15pct grid_tin20_r18_axmagnitudeL3_l10to00_d9869d_20pct grid_tin20_r18_axmagnitudeL3_l10to00_d9869d_25pct grid_tin20_r18_axmagnitudeL3_l10to00_d9869d_50pct grid_tin20_r18_axmagnitudeL3_l10to00_d9869d_100pct
BASELINE,tin20b,resnet18,baseline,n/a (<1 batch),23.10,27.13,31.60,36.43,44.16,51.30,57.10,61.23,73.70,81.83,,,,,,,,,,,,,3,3,3,3,10,3,3,3,3,3,grid_tin20b_r18_d1a87d_2pct grid_tin20b_r18_d1a87d_3pct grid_tin20b_r18_d1a87d_5pct grid_tin20b_r18_d1a87d_7pct tin20b_none grid_tin20b_r18_d1a87d_15pct grid_tin20b_r18_d1a87d_20pct grid_tin20b_r18_d1a87d_25pct grid_tin20b_r18_d1a87d_50pct grid_tin20b_r18_d1a87d_100pct
"aux(magnitude@L3,L1.0>0.0)",tin20b,resnet18,variant,n/a (<1 batch),24.13,30.30,35.00,42.27,49.01,54.93,60.83,63.10,72.80,81.33,,1.03,3.17,3.40,5.83,4.85,3.63,3.73,1.87,-0.90,-0.50,,3,3,3,3,10,3,3,3,3,3,grid_tin20b_r18_axmagnitudeL3_l10to00_c453d1_2pct grid_tin20b_r18_axmagnitudeL3_l10to00_c453d1_3pct grid_tin20b_r18_axmagnitudeL3_l10to00_c453d1_5pct grid_tin20b_r18_axmagnitudeL3_l10to00_c453d1_7pct tin20b_aux grid_tin20b_r18_axmagnitudeL3_l10to00_c453d1_15pct grid_tin20b_r18_axmagnitudeL3_l10to00_c453d1_20pct grid_tin20b_r18_axmagnitudeL3_l10to00_c453d1_25pct grid_tin20b_r18_axmagnitudeL3_l10to00_c453d1_50pct grid_tin20b_r18_axmagnitudeL3_l10to00_c453d1_100pct
BASELINE,tinsem,resnet18,baseline,16.06,20.97,25.35,32.01,35.51,40.48,46.59,50.58,53.42,62.24,69.14,,,,,,,,,,,,10,3,3,3,3,3,3,3,3,3,3,tinsem_none_1pct grid_tsem_r18_ca4631_2pct grid_tsem_r18_ca4631_3pct grid_tsem_r18_ca4631_5pct grid_tsem_r18_ca4631_7pct grid_tsem_r18_ca4631_10pct grid_tsem_r18_ca4631_15pct grid_tsem_r18_ca4631_20pct grid_tsem_r18_ca4631_25pct grid_tsem_r18_ca4631_50pct grid_tsem_r18_ca4631_100pct
"aux(magnitude@L3,L1.0>0.0)",tinsem,resnet18,variant,18.04,22.98,27.45,32.82,36.74,41.62,47.15,50.47,53.12,61.68,68.84,1.98,2.01,2.10,0.82,1.24,1.15,0.56,-0.11,-0.30,-0.56,-0.29,10,3,3,3,3,3,3,3,3,3,3,tinsem_aux_1pct grid_tsem_r18_axmagnitudeL3_l10to00_fdee42_2pct grid_tsem_r18_axmagnitudeL3_l10to00_fdee42_3pct grid_tsem_r18_axmagnitudeL3_l10to00_fdee42_5pct grid_tsem_r18_axmagnitudeL3_l10to00_fdee42_7pct grid_tsem_r18_axmagnitudeL3_l10to00_fdee42_10pct grid_tsem_r18_axmagnitudeL3_l10to00_fdee42_15pct grid_tsem_r18_axmagnitudeL3_l10to00_fdee42_20pct grid_tsem_r18_axmagnitudeL3_l10to00_fdee42_25pct grid_tsem_r18_axmagnitudeL3_l10to00_fdee42_50pct grid_tsem_r18_axmagnitudeL3_l10to00_fdee42_100pct
BASELINE,tinsuper,resnet18,baseline,14.10,17.11,20.44,25.67,30.66,35.01,40.93,44.33,47.78,57.69,65.73,,,,,,,,,,,,10,3,3,3,3,3,3,3,3,3,3,tinsuper_none_1pct grid_tsuper_r18_88cc54_2pct grid_tsuper_r18_88cc54_3pct grid_tsuper_r18_88cc54_5pct grid_tsuper_r18_88cc54_7pct grid_tsuper_r18_88cc54_10pct grid_tsuper_r18_88cc54_15pct grid_tsuper_r18_88cc54_20pct grid_tsuper_r18_88cc54_25pct grid_tsuper_r18_88cc54_50pct grid_tsuper_r18_88cc54_100pct
"aux(magnitude@L3,L1.0>0.0)",tinsuper,resnet18,variant,15.31,18.92,21.87,27.04,31.27,35.69,41.50,44.67,47.78,57.05,65.01,1.21,1.80,1.43,1.37,0.61,0.68,0.57,0.34,-0.01,-0.65,-0.72,10,3,3,3,3,3,3,3,3,3,3,tinsuper_aux_1pct grid_tsuper_r18_axmagnitudeL3_l10to00_9fd066_2pct grid_tsuper_r18_axmagnitudeL3_l10to00_9fd066_3pct grid_tsuper_r18_axmagnitudeL3_l10to00_9fd066_5pct grid_tsuper_r18_axmagnitudeL3_l10to00_9fd066_7pct grid_tsuper_r18_axmagnitudeL3_l10to00_9fd066_10pct grid_tsuper_r18_axmagnitudeL3_l10to00_9fd066_15pct grid_tsuper_r18_axmagnitudeL3_l10to00_9fd066_20pct grid_tsuper_r18_axmagnitudeL3_l10to00_9fd066_25pct grid_tsuper_r18_axmagnitudeL3_l10to00_9fd066_50pct grid_tsuper_r18_axmagnitudeL3_l10to00_9fd066_100pct
